EMP. CODE,GENDER,MARITAL STATUS,DATE OF BIRTH,AGE,EXPERIENCE others,Experience IN ATAEIL,Total Experience,DATE_OF JOINING,GRADE,DEPARTMENT,DVISION,JOINING CTC,CURRENT CTC, WORKING STATUS,Satisfaction Level,Employer Appreciation,Job Involvement,Distance From Home,Number of Companies Worked,Percent Salary Hike,Training Times Last Year (In Hrs),Year Since Last Promotion,Average monthly hours
482,2,2,31997,30,3,1.21,4.21,42527,5,15,4,56250,345888,2,2.5,3.1,3.3,12,0,6,4,0,200
483,2,1,32414,29,2.8,1.21,4.01,42527,2,9,4,29167,32166.66667,1,1.8,1.5,2.1,12,0,6,4,0,200
484,1,1,34362,24,0.5,1.21,1.71,42528,1,23,1,15087,15087,2,2.5,3.1,3.3,12,0,6,4,0,200
485,1,1,32406,29,4.5,1.2,5.7,42530,2,2,4,26500,26500,2,2.5,3.1,3.3,12,0,6,4,0,200
486,1,1,31919,30,8,1.2,9.2,42531,2,23,1,35000,35000,1,3.2,3.8,4,10,2,0,8,0,218.25
487,1,2,30647,34,13.5,1.14,14.64,42552,4,20,1,99796,99796,2,2.5,3.1,3.3,12,0,6,4,0,200
488,1,2,26205,46,23,1.13,24.13,42555,5,28,1,165698,165698,2,2.5,3.1,3.3,12,0,6,4,0,200
489,2,1,33257,27,0,1.13,1.13,42557,1,28,1,16234,16234,2,2.5,3.1,3.3,12,0,6,4,0,200
490,1,2,26542,45,19,1.12,20.12,42559,4,23,1,108334,108334,2,2.5,3.1,3.3,12,0,6,4,0,200
491,2,2,32128,30,4.7,0.98,5.68,42611,5,15,4,41667,41668,1,1.8,1.5,2.1,12,0,6,4,0,200
492,1,1,32677,28,0,0.98,0.98,42611,2,15,4,20000,20000,2,2.5,3.1,3.3,12,0,6,4,0,200
493,1,2,32906,28,8,0.98,8.98,42610,1,21,5,21274,21274,1,1.8,1.5,2.1,12,0,6,4,0,200
494,1,2,26796,44,16,0.86,16.86,42655,3,23,4,31400,31400,1,3.4,4.8,5,8,4,0,0,0,219.375
495,2,2,32824,28,4,0.86,4.86,42655,2,12,4,18808,18807.71556,1,3.6,3.8,4.333333333,5,2,0,0,0,202.5
496,1,1,34693,23,3,0.83,3.83,42667,2,29,5,30394,30394,1,3.2,3.2,4.333333333,8,0,8,4,0,200
497,1,1,33258,27,3.1,0.79,3.89,42682,2,20,1,21371,21990.22994,1,1.8,1.5,2.1,25,2,0,10,0,186.75
498,1,2,28787,39,12,0.76,12.76,42690,5,10,4,153557,153557.2774,1,3,4.2,5,25,4,0,0,0,227.25
499,1,1,32357,29,3,0.75,3.75,42695,2,2,4,20739,21401.27778,1,3.2,3.4,4,3,2,0,0,0,223.875
500,1,1,32708,28,5,0.74,5.74,42698,2,10,4,26227,26226.53333,1,3.4,3.6,4.666666667,10,2,0,0,0,218.8125
501,1,2,23804,53,29,0.69,29.69,42716,5,22,1,307882,307881.8015,1,1.8,1.5,2.1,12,0,6,4,0,200
502,1,2,23682,53,23,0.55,23.55,42767,5,25,5,125000,124999.5049,1,1.8,1.5,2.1,12,0,6,4,0,200
503,1,1,33194,27,3,0.55,3.55,42767,2,24,1,29167,29167.63667,1,2.6,3.4,4,12,0,6,4,0,200
504,1,1,34627,23,0,0.54,0.54,42773,1,8,1,15893,15893.49889,1,3.2,4.25,4,10,0,0,6,0,180
505,1,1,34843,22,4.3,0.5,4.8,42786,2,8,1,23814,23813.875,1,3,3.8,4.666666667,25,2,0,0,0,166.5
506,1,1,33812,25,2.4,0.47,2.87,42797,2,24,1,18054,18054.27472,1,3,3.6,3.666666667,35,1,0,0,0,148.5
